Type,Data
Title,Welcome to Python.org
Heading,Functions Defined
Heading,Compound Data Types
Heading,Intuitive Interpretation
Heading,All the Flow You’d Expect
Heading,Quick & Easy to Learn
Heading,Get Started
Heading,Download
Heading,Docs
Heading,Jobs
Heading,Latest News
Heading,Upcoming Events
Heading,Success Stories
Heading,Use Python for…
Heading,>>>Python Software Foundation
Link,#content
Link,#python-network
Link,/
Link,https://www.python.org/psf/
Link,https://docs.python.org
Link,https://pypi.org/
Link,/jobs/
Link,/community/
Link,#top
Link,/
Link,https://donate.python.org/
Link,#site-map
Link,#
Link,javascript:;
Link,javascript:;
Link,javascript:;
Link,#
Link,https://www.linkedin.com/company/python-software-foundation/
Link,https://fosstodon.org/@ThePSF
Link,/community/irc/
Link,https://twitter.com/ThePSF
Link,/about/
Link,/about/apps/
Link,/about/quotes/
Link,/about/gettingstarted/
Link,/about/help/
Link,http://brochure.getpython.info/
Link,/downloads/
Link,/downloads/
Link,/downloads/source/
Link,/downloads/windows/
Link,/downloads/macos/
Link,/downloads/android/
Link,/download/other/
Link,https://docs.python.org/3/license.html
Link,/download/alternatives
Link,/doc/
Link,/doc/
Link,/doc/av
Link,https://wiki.python.org/moin/BeginnersGuide
Link,https://docs.python.org/3/faq/
Link,https://translations.python.org/
Link,https://peps.python.org
Link,https://wiki.python.org/moin/PythonBooks
Link,/doc/essays/
Link,/community/
Link,/community/diversity/
Link,/community/lists/
Link,/community/irc/
Link,/community/forums/
Link,/psf/annual-report/2024/
Link,/community/workshops/
Link,/community/sigs/
Link,/community/logos/
Link,https://wiki.python.org/moin/
Link,/psf/conduct/
Link,/community/awards
Link,/psf/get-involved/
Link,/psf/community-stories/
Link,/success-stories/
Link,/success-stories/category/arts/
Link,/success-stories/category/business/
Link,/success-stories/category/education/
Link,/success-stories/category/engineering/
Link,/success-stories/category/government/
Link,/success-stories/category/scientific/
Link,/success-stories/category/software-development/
Link,/blogs/
Link,/blogs/
Link,/psf/newsletter/
Link,http://pyfound.blogspot.com/
Link,http://pycon.blogspot.com/
Link,http://planetpython.org/
Link,/events/
Link,/events/python-events/
Link,/events/python-user-group/
Link,/events/python-events/past/
Link,/events/python-user-group/past/
Link,https://wiki.python.org/moin/PythonEventsCalendar#Submitting_an_Event
Link,/shell/
Link,//docs.python.org/3/tutorial/controlflow.html#defining-functions
Link,//docs.python.org/3/tutorial/introduction.html#lists
Link,http://docs.python.org/3/tutorial/introduction.html#using-python-as-a-calculator
Link,//docs.python.org/3/tutorial/controlflow.html
Link,//docs.python.org/3/tutorial/
Link,/doc/
Link,https://us.pycon.org/2026/attend/information/
Link,/about/gettingstarted/
Link,/downloads/release/python-3144/
Link,https://docs.python.org
Link,//jobs.python.org
Link,https://blog.python.org
Link,https://pyfound.blogspot.com/2026/04/announcing-python-software-foundation.html
Link,https://pyfound.blogspot.com/2026/04/pycon-us-2026-hotels.html
Link,https://pyfound.blogspot.com/2026/04/reflecting-on-five-years-as-psfs-first.html
Link,https://blog.python.org/2026/04/rust-for-cpython-2026-04/
Link,https://blog.python.org/2026/04/python-3150a8-3144-31313/
Link,/events/calendars/
Link,/events/python-events/2166/
Link,/events/python-user-group/2151/
Link,/events/python-user-group/2164/
Link,/events/python-events/2131/
Link,/events/python-events/2036/
Link,/success-stories/
Link,/success-stories/abridging-clinical-conversations-using-python/
Link,/success-stories/abridging-clinical-conversations-using-python/
Link,/about/apps
Link,https://www.djangoproject.com/
Link,https://trypyramid.com/
Link,https://bottlepy.org
Link,https://www.tornadoweb.org/
Link,https://flask.palletsprojects.com/
Link,https://litestar.dev/
Link,https://fastapi.tiangolo.com/
Link,https://en.wikipedia.org/wiki/Tkinter
Link,https://pygobject.gnome.org/
Link,https://riverbankcomputing.com/software/pyqt/intro
Link,https://wiki.qt.io/Qt_for_Python
Link,https://kivy.org/
Link,https://www.wxpython.org/
Link,https://dearpygui.readthedocs.io/en/latest/
Link,https://pytorch.org/
Link,https://www.tensorflow.org/
Link,https://scikit-learn.org/
Link,https://huggingface.co/docs/transformers/
Link,https://docs.anthropic.com/
Link,https://langchain.com/
Link,https://scipy.org/
Link,https://pandas.pydata.org/
Link,https://ipython.org/
Link,https://buildbot.net/
Link,https://trac.edgewall.org/
Link,https://www.roundup-tracker.org/
Link,https://docs.ansible.com/
Link,https://saltproject.io/
Link,https://www.openstack.org/
Link,https://xon.sh/
Link,/psf/
Link,/psf/
Link,/psf/membership/
Link,/psf/donations/
Link,#python-network
Link,/about/
Link,/about/apps/
Link,/about/quotes/
Link,/about/gettingstarted/
Link,/about/help/
Link,http://brochure.getpython.info/
Link,/downloads/
Link,/downloads/
Link,/downloads/source/
Link,/downloads/windows/
Link,/downloads/macos/
Link,/downloads/android/
Link,/download/other/
Link,https://docs.python.org/3/license.html
Link,/download/alternatives
Link,/doc/
Link,/doc/
Link,/doc/av
Link,https://wiki.python.org/moin/BeginnersGuide
Link,https://docs.python.org/3/faq/
Link,https://translations.python.org/
Link,https://peps.python.org
Link,https://wiki.python.org/moin/PythonBooks
Link,/doc/essays/
Link,/community/
Link,/community/diversity/
Link,/community/lists/
Link,/community/irc/
Link,/community/forums/
Link,/psf/annual-report/2024/
Link,/community/workshops/
Link,/community/sigs/
Link,/community/logos/
Link,https://wiki.python.org/moin/
Link,/psf/conduct/
Link,/community/awards
Link,/psf/get-involved/
Link,/psf/community-stories/
Link,/success-stories/
Link,/success-stories/category/arts/
Link,/success-stories/category/business/
Link,/success-stories/category/education/
Link,/success-stories/category/engineering/
Link,/success-stories/category/government/
Link,/success-stories/category/scientific/
Link,/success-stories/category/software-development/
Link,/blogs/
Link,/blogs/
Link,/psf/newsletter/
Link,http://pyfound.blogspot.com/
Link,http://pycon.blogspot.com/
Link,http://planetpython.org/
Link,/events/
Link,/events/python-events/
Link,/events/python-user-group/
Link,/events/python-events/past/
Link,/events/python-user-group/past/
Link,https://wiki.python.org/moin/PythonEventsCalendar#Submitting_an_Event
Link,/dev/
Link,https://devguide.python.org/
Link,https://github.com/python/cpython/issues
Link,https://mail.python.org/mailman/listinfo/python-dev
Link,/dev/core-mentorship/
Link,/dev/security/
Link,#python-network
Link,/about/help/
Link,/community/diversity/
Link,https://github.com/python/pythondotorg/issues
Link,https://status.python.org/
Link,/psf-landing/
Link,/about/legal/
Link,https://policies.python.org/python.org/Privacy-Notice/
